X,Y,Id,Name,LayerID,LayerTextID,City,Street,Number,Order,Startdate,Enddate,PAE,category,Selected_Categories
-73.9418888,40.8147417,959633,Pharmacy,16,farm,New york,W 135th Street,127,1,2019-07-25,None,,farmàcia i ortopèdia,Pharmacy
-73.9391315,40.8132456,959637,Fine Fare Supermarkets,31,ccom,New york,W 135th Street,24,1,2019-07-25,None,,supermercats,Supermarket
-73.9389115,40.8131198,959636,Lenox Terrace Drug,7,llar,New york,W 135th Street,20,1,2019-07-25,None,,"llar, decoració i mobiliari",Household items
-73.9447909,40.8156329,959620,Cheveux,8,moda,New york,W 135th Street,228,1,2019-07-25,None,,roba i complements,Clothes shop
-73.9446729,40.8155598,959619,Flo's,4,pelu,New york,W 135th Street,224,1,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9450082,40.8157323,959623,Jhon & Josh,43,come,New york,W 135th Street,236,2,2019-07-25,None,,comestibles,Supermarket
-73.9449438,40.8156836,959622,Barber Shop,4,pelu,New york,W 135th Street,236,1,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9451342,40.8157932,959625,Aim Cosmetics,107,perfu,New york,W 135th Street,236,4,2019-07-25,None,,perfumeria i drogueria,Perfume shop
-73.9450779,40.8157709,959624,Sara Hair,4,pelu,New york,W 135th Street,236,3,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9432755,40.8153101,959627,Fancy,4,pelu,New york,W 135th Street,189,2,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9451825,40.8158034,959626,Cafe Lord,33,forn,New york,W 135th Street,236,5,2019-07-25,None,,forn de pa,Bakery
-73.9449143,40.8160084,959610,Hair Salon,4,pelu,New york,W 135th Street,221,1,2019-07-25,None,,perruqueria,Hairdresser and beauty salon
-73.9441686,40.8156714,959615,New Healthy Touch,30,salud,New york,W 135th Street,201,1,2019-07-25,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9440828,40.8156471,959617,New Harlem,30,salud,New york,W 135th Street,201,3,2019-07-25,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9472559,40.8166417,959600,Pharmacy Dr,16,farm,New york,W 135th Street,300,1,2019-07-25,None,,farmàcia i ortopèdia,Pharmacy
-73.9473551,40.8166783,959599,Subway,40,bar,New york,W 135th Street,300,2,2019-07-25,None,,bar de tapes ,Restaurants
-73.9467677,40.8167838,959601,King Barka,40,bar,New york,W 135th Street,301,1,2019-07-25,None,,bar de tapes ,Restaurants
-73.9460167,40.8161464,959604,Ethiopian Restaurant,2,rest,New york,W 135th Street,270,2,2019-07-25,None,,restaurant,Restaurants
-73.9461401,40.816185,959605,Pizza Pizza,151,rapi,New york,W 135th Street,272,1,2019-07-25,None,,menjar ràpid ,Fast food
-73.9476172,40.8260531,959697,Unbelievable Cuts,4,pelu,New york,W 146th St,502,1,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.9416716,40.823714,959702,Sully's,4,pelu,New york,W 146th St,301,2,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.9467521,40.830762,959640,A & S,6,pape,New york,W 152nd St,661,2,2019-07-23,None,,"papereria, llibreria i copisteria",Copy shop
-73.9389069,40.8274577,959643,D' Felicia's,4,pelu,New york,W 152nd St,257,1,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.9478623,40.8255344,959747,Jesus Tacs,2,rest,New york,W 145th St,501,1,2019-07-23,None,,restaurant,Restaurants
-73.9473795,40.8249982,959749,Uomo,4,pelu,New york,W 145th St,474,1,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.947818,40.825512,959748,Fresh Flower & Plant's Mary,27,flor,New york,W 145th St,501,3,2019-07-23,None,,floristeria,Florist
-73.9469718,40.8248196,959751,Il Caffe Latte,2,rest,New york,W 145th St,458,1,2019-07-23,None,,restaurant,Restaurants
-73.9468266,40.8247521,959753,Barber Shop,4,pelu,New york,W 145th St,452,1,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.9499259,40.826392,959736,Castillo's Unisex,4,pelu,New york,W 145th St,465,2,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.9500144,40.8264326,959735,Eternity,8,moda,New york,W 145th St,465,1,2019-07-23,None,,roba i complements,Clothes shop
-73.9485901,40.8258235,959739,Hotel Caribe,47,hote,New york,W 145th St,515,1,2019-07-23,None,,hotels i allotjaments,Hotels
-73.9498172,40.8263606,959737,Alexander's Deli,43,come,New york,W 145th St,561,1,2019-07-23,None,,comestibles,Supermarket
-73.94846,40.8257799,959741,Four Star,4,pelu,New york,W 145th St,513,2,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.9485338,40.8258062,959740,Wats On,2,rest,New york,W 145th St,513,1,2019-07-23,None,,restaurant,Restaurants
-73.9479709,40.8255719,959745,Total Looks,4,pelu,New york,W 145th St,501,1,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.9483635,40.8257383,959742,Hotel Casablanca,47,hote,New york,W 145th St,511,1,2019-07-23,None,,hotels i allotjaments,Hotels
-73.9490257,40.825703,959725,Jimbo's Hamburger,151,rapi,New york,W 145th St,528,3,2019-07-23,None,,menjar ràpid ,Fast food
-73.9489707,40.8256858,959724,Beauty Supply,4,pelu,New york,W 145th St,528,2,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.949078,40.8257248,959726,West Harlem 145,8,moda,New york,W 145th St,528,4,2019-07-23,None,,roba i complements,Clothes shop
-73.9492594,40.8261147,959729,Colon Salon,4,pelu,New york,W 145th St,531,2,2019-07-23,None,,perruqueria,Hairdresser and beauty salon
-73.9496952,40.8262966,959733,AAA,116,basar,New york,W 145th St,545,1,2019-07-23,None,,basar,Bazaar
-73.9497194,40.8259547,959712,Sole,8,moda,New york,W 145th St,540,2,2019-07-23,None,,roba i complements,Clothes shop
-73.9496014,40.8259029,959711,Michael Kalon & Co,9,joie,New york,W 145th St,540,1,2019-07-23,None,,joieria i rellotgeria ,Jewellery
-73.9484079,40.8254534,959718,Vim,8,moda,New york,W 145th St,508,1,2019-07-23,None,,roba i complements,Clothes shop
-73.9480443,40.8252877,959716,Sabila,40,bar,New york,W 145th St,500,1,2019-07-23,None,,bar de tapes ,Restaurants
-73.9489365,40.8256676,959723,Gormet Deli,43,come,New york,W 145th St,528,1,2019-07-23,None,,comestibles,Supermarket
-73.9442162,40.8099392,958220,African Market,43,come,New york,Malcom X Boulevard,363,1,2019-08-03,None,,comestibles,Supermarket
-73.9440847,40.8100953,958223,Jewelers,4,pelu,New york,Malcom X Boulevard,365,3,2019-08-03,None,,perruqueria,Hairdresser and beauty salon
-73.9439855,40.8102475,958226,Balde Gift Shop,8,moda,New york,Malcom X Boulevard,371,1,2019-08-03,None,,roba i complements,Clothes shop
-73.9440552,40.8101298,958224,Amina Hairbraiding,4,pelu,New york,Malcom X Boulevard,367,1,2019-08-03,None,,perruqueria,Hairdresser and beauty salon
-73.9439426,40.8103325,958227,Jacob,2,rest,New york,Malcom X Boulevard,373,1,2019-08-03,None,,restaurant,Restaurants
-73.9449655,40.808898,958209,Babbalucci,2,rest,New york,Malcom X Boulevard,331,1,2019-08-03,None,,restaurant,Restaurants
-73.9450004,40.8088573,958208,Cantina,151,rapi,New york,Malcom X Boulevard,329,1,2019-08-03,None,,menjar ràpid ,Fast food
-73.9445526,40.809432,958215,Ispa's,30,salud,New york,Malcom X Boulevard,345,1,2019-08-03,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9446814,40.8093021,958213,Lenox Saphire Harlem,40,bar,New york,Malcom X Boulevard,341,1,2019-08-03,None,,bar de tapes ,Restaurants
-73.9444158,40.8096513,958218,Infinite Nails Spa,30,salud,New york,Malcom X Boulevard,353,1,2019-08-03,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9375377,40.8291253,958200,Mama's Fried Chicken,151,rapi,New york,Frederick Douglass Boulevard,2925,1,2019-08-03,None,,menjar ràpid ,Fast food
-73.9375927,40.8290355,958198,Teg Dragon,2,rest,New york,Frederick Douglass Boulevard,2923,1,2019-08-03,None,,restaurant,Restaurants
-73.9376812,40.8289492,958201,Uptown 99 Plus,116,basar,New york,Frederick Douglass Boulevard,2919,1,2019-08-03,None,,basar,Bazaar
-73.9451452,40.8086675,958205,Corner Social,40,bar,New york,Malcom X Boulevard,321,1,2019-08-03,None,,bar de tapes ,Restaurants
-73.9378194,40.8287311,958204,Candy Shop,107,perfu,New york,Frederick Douglass Boulevard,2913,1,2019-08-03,None,,perfumeria i drogueria,Perfume shop
-73.945046,40.8087985,958207,Paradise,8,moda,New york,Malcom X Boulevard,327,1,2019-08-03,None,,roba i complements,Clothes shop
-73.9450889,40.8087477,958206,Cove Lounge,40,bar,New york,Malcom X Boulevard,325,1,2019-08-03,None,,bar de tapes ,Restaurants
-73.9379923,40.8279278,958190,Darou Market,110,colma,New york,Frederick Douglass Boulevard,2890,1,2019-08-03,None,,queviures,Supermarket
-73.9376946,40.8283103,958192,Eso Harlem,2,rest,New york,Frederick Douglass Boulevard,2898,1,2019-08-03,None,,restaurant,Restaurants
-73.9373258,40.828844,958195,Organic Deli & Inc,43,come,New york,Frederick Douglass Boulevard,2922,1,2019-08-03,None,,comestibles,Supermarket
-73.9376464,40.8289898,958197,Shaab Deli,110,colma,New york,Frederick Douglass Boulevard,2921,1,2019-08-03,None,,queviures,Supermarket
-73.9373768,40.8287618,958196,Riverside Pharmacy,16,farm,New york,Frederick Douglass Boulevard,2920,1,2019-08-03,None,,farmàcia i ortopèdia,Pharmacy
-73.9405007,40.8150685,958260,Pharmacy,16,farm,New york,Malcom X Boulevard,532,1,2019-08-03,None,,farmàcia i ortopèdia,Pharmacy
-73.9405329,40.8149914,958259,Grill Deli,24,fruit,New york,Malcom X Boulevard,521,1,2019-08-03,None,,fruites i verdures ,Fruit shop
-73.940439,40.8151294,958261,Dunkin',15,past,New york,Malcom X Boulevard,525,1,2019-08-03,None,,dolços i pastissos,Bakery
-73.9403323,40.815271,958265,Pizza Stop,151,rapi,New york,Malcom X Boulevard,531,1,2019-08-03,None,,menjar ràpid ,Fast food
-73.940355,40.8152355,958264,Great Wall,151,rapi,New york,Malcom X Boulevard,527,3,2019-08-03,None,,menjar ràpid ,Fast food
-73.9402464,40.8153999,958267,Jimbo's Hamburger Palace,40,bar,New york,Malcom X Boulevard,535,1,2019-08-03,None,,bar de tapes ,Restaurants
-73.9403027,40.8153177,958266,Harlem Pharmacy & Surgicals,16,farm,New york,Malcom X Boulevard,531,2,2019-08-03,None,,farmàcia i ortopèdia,Pharmacy
-73.9418735,40.8131719,958250,Lenox Beauty Supply,4,pelu,New york,Malcom X Boulevard,469,1,2019-08-03,None,,perruqueria,Hairdresser and beauty salon
-73.9418185,40.8132409,958252,Pharmacy,16,farm,New york,Malcom X Boulevard,471,2,2019-08-03,None,,farmàcia i ortopèdia,Pharmacy
-73.9418467,40.8132095,958251,Texas,151,rapi,New york,Malcom X Boulevard,471,1,2019-08-03,None,,menjar ràpid ,Fast food
-73.9417447,40.8133577,958255,Pawn SHop,9,joie,New york,Malcom X Boulevard,475,1,2019-08-03,None,,joieria i rellotgeria ,Jewellery
-73.941793,40.8132815,958253,88,2,rest,New york,Malcom X Boulevard,473,1,2019-08-03,None,,restaurant,Restaurants
-73.9416817,40.8134409,958257,477 Food Corporation,110,colma,New york,Malcom X Boulevard,477,1,2019-08-03,None,,queviures,Supermarket
-73.9417152,40.8133881,958256,A. N. Nails,30,salud,New york,Malcom X Boulevard,475,2,2019-08-03,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9427425,40.8119749,958239,House of Seafood Express,2,rest,New york,Malcom X Boulevard,429,1,2019-08-03,None,,restaurant,Restaurants
-73.9427747,40.8119038,958238,K & S,43,come,New york,Malcom X Boulevard,435,1,2019-08-03,None,,comestibles,Supermarket
-73.9426325,40.812126,958240,Revolution Books,6,pape,New york,Malcom X Boulevard,437,1,2019-08-03,None,,"papereria, llibreria i copisteria",Copy shop
-73.9422651,40.8126157,958244,Dominican Star,4,pelu,New york,Malcom X Boulevard,451,1,2019-08-03,None,,perruqueria,Hairdresser and beauty salon
-73.9423107,40.8125446,958243,449 LA,40,bar,New york,Malcom X Boulevard,449,1,2019-08-03,None,,bar de tapes ,Restaurants
-73.9435215,40.8108583,958233,Ocean,40,bar,New york,Malcom X Boulevard,393,1,2019-08-03,None,,bar de tapes ,Restaurants
-73.9434571,40.8109517,958234,Deli,110,colma,New york,Malcom X Boulevard,393,2,2019-08-03,None,,queviures,Supermarket
-73.9428123,40.8118531,958237,Natural Parlor,4,pelu,New york,Malcom X Boulevard,423,1,2019-08-03,None,,perruqueria,Hairdresser and beauty salon
-73.9428552,40.8117759,958236,Tio Luca,40,bar,New york,Malcom X Boulevard,421,1,2019-08-03,None,,bar de tapes ,Restaurants
-73.938062,40.8183752,958295,Wynn Optics,18,opti,New york,Malcom X Boulevard,629,1,2019-08-03,None,,òptica,Optician's shop
-73.9379681,40.8184868,958297,Polo Green,4,pelu,New york,Malcom X Boulevard,633,1,2019-08-03,None,,perruqueria,Hairdresser and beauty salon
-73.9378018,40.8187368,958300,Pizza,151,rapi,New york,Malcom X Boulevard,639,1,2019-08-03,None,,menjar ràpid ,Fast food
-73.9379292,40.8185609,958299,Grocery,110,colma,New york,Malcom X Boulevard,639,2,2019-08-03,None,,queviures,Supermarket
-73.9383758,40.8179408,958290,Best Way Deli & Grocery,110,colma,New york,Malcom X Boulevard,619,1,2019-08-03,None,,queviures,Supermarket
-73.9394557,40.8164265,958280,Grocery,110,colma,New york,Malcom X Boulevard,561,1,2019-08-03,None,,queviures,Supermarket
-73.939496,40.8163649,958279,Presto Fresh Cafe,23,cafe,New york,Malcom X Boulevard,559,1,2019-08-03,None,,cafeteria,Coffee shop
-73.9393753,40.8165503,958282,Care Pharmacy & Surgicals,16,farm,New york,Malcom X Boulevard,565,1,2019-08-03,None,,farmàcia i ortopèdia,Pharmacy
-73.9394048,40.8164914,958281,Subway,151,rapi,New york,Malcom X Boulevard,563,1,2019-08-03,None,,menjar ràpid ,Fast food
-73.9386726,40.8175625,958285,King's Chef,151,rapi,New york,Malcom X Boulevard,587,1,2019-08-03,None,,menjar ràpid ,Fast food
-73.9387397,40.8174793,958284,Harlem Deli Market,110,colma,New york,Malcom X Boulevard,585,1,2019-08-03,None,,queviures,Supermarket
-73.9400345,40.8156763,958269,Aicha African,4,pelu,New york,Malcom X Boulevard,539,1,2019-08-03,None,,perruqueria,Hairdresser and beauty salon
-73.9400774,40.8156285,958268,Deli,40,bar,New york,Malcom X Boulevard,537,1,2019-08-03,None,,bar de tapes ,Restaurants
-73.9399675,40.8158011,958271,Palace Pharmacy,16,farm,New york,Malcom X Boulevard,543,1,2019-08-03,None,,farmàcia i ortopèdia,Pharmacy
-73.9400023,40.815726,958270,PJ Nails & Spa,30,salud,New york,Malcom X Boulevard,541,1,2019-08-03,None,,estètica i bellesa,Hairdresser and beauty salon
-73.9398709,40.8159026,958273,Cafe,23,cafe,New york,Malcom X Boulevard,547,1,2019-08-03,None,,cafeteria,Coffee shop
-73.9397777,40.8160371,958275,Deli Corporation,110,colma,New york,Malcom X Boulevard,551,1,2019-08-03,None,,queviures,Supermarket
-73.9411744,40.8132403,958339,Sneaker Train,106,ardep,New york,Malcom X Boulevard,482,2,2019-08-03,None,,articles esportius,Sports shop
-73.9413058,40.8130738,958342,Derra,116,basar,New york,Malcom X Boulevard,480,3,2019-08-03,None,,basar,Bazaar
-73.9416908,40.812523,958347,Harlem Vision Center,18,opti,New york,Malcom X Boulevard,454,1,2019-08-03,None,,òptica,Optician's shop
-73.9416318,40.812592,958346,Golden Krust,33,forn,New york,Malcom X Boulevard,456,1,2019-08-03,None,,forn de pa,Bakery
-73.9418249,40.8123606,958349,Associated Supermarket,31,ccom,New york,Malcom X Boulevard,448,1,2019-08-03,None,,supermercats,Supermarket
